"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","GET List User","chromium","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","422","POST Create User","chromium","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","392","DELETE User","chromium","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","675","PUT Update User","chromium","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","533","POST Create User","webkit","Wed Oct 08 18:45:27 ICT 2025","passed","Wed Oct 08 18:45:28 ICT 2025","","api-request.spec.ts","",""
"","231","GET List User","firefox","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","249","GET Single User","firefox","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","465","POST Create User","firefox","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","485","PUT Update User","webkit","Wed Oct 08 18:45:27 ICT 2025","passed","Wed Oct 08 18:45:28 ICT 2025","","api-request.spec.ts","",""
"","456","PUT Update User","firefox","Wed Oct 08 18:45:27 ICT 2025","passed","Wed Oct 08 18:45:28 ICT 2025","","api-request.spec.ts","",""
"","323","GET Single User","webkit","Wed Oct 08 18:45:27 ICT 2025","passed","Wed Oct 08 18:45:28 ICT 2025","","api-request.spec.ts","",""
"","297","GET List User","webkit","Wed Oct 08 18:45:27 ICT 2025","passed","Wed Oct 08 18:45:27 ICT 2025","","api-request.spec.ts","",""
"","259","DELETE User","firefox","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","246","GET Single User","chromium","Wed Oct 08 18:45:26 ICT 2025","passed","Wed Oct 08 18:45:26 ICT 2025","","api-request.spec.ts","",""
"","408","DELETE User","webkit","Wed Oct 08 18:45:27 ICT 2025","passed","Wed Oct 08 18:45:28 ICT 2025","","api-request.spec.ts","",""
